"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"EmergenceDAS","FirstOrder","ShootLag",1.79445999167432,-0.239069130274234,0.0490599175124865,0.440375585822783,-1.46846132473312,0.325998666941195
"RF",10,"EmergenceDAS","FirstOrder","VegTarget",0.937302889992506,-0.240918580553516,-0.0447485504611878,0.228720877584433,-0.592543316592948,0.344759573399559
"RF",10,"EmergenceDAS","FirstOrder","LateVegTarget",0.918987670347734,-0.271649981938941,-0.0482040305229967,0.213710770035568,-0.594196585773937,0.324791084573796
"RF",10,"EmergenceDAS","FirstOrder","FloweringTarget",0.907752344556669,-0.273231757038738,-0.0477359234081686,0.213015465552108,-0.591673765886367,0.316078578670302
"RF",10,"EmergenceDAS","FirstOrder","Population",0.916227262099264,-0.260328467657949,-0.0488110908379646,0.223313124238685,-0.58438031490153,0.331846947197734
"RF",10,"EmergenceDAS","FirstOrder","FracPAWC",1.84462055196198,0.682364060527486,-0.342851534244209,0.666875307755843,0.436266440393507,2.28088699235549
"RF",10,"EmergenceDAS","TotalEffects","ShootLag",1.77105949706296,0.32413061879306,0.396261229125437,0.662785275877264,-1.22882451941242,0.542234977650542
"RF",10,"EmergenceDAS","TotalEffects","VegTarget",0.0123322748966551,0.00110293680458406,0.00219548954140026,0.00392544238677094,-0.0103063605933783,0.00202591430327685
"RF",10,"EmergenceDAS","TotalEffects","LateVegTarget",0.0224389486602638,0.00125144671766675,0.00241332381415379,0.00549146402351446,-0.0200094259993281,0.00242952266093569
"RF",10,"EmergenceDAS","TotalEffects","FloweringTarget",0.00119460981509153,6.69814677470848e-05,0.000132411256911623,0.000305062484592915,-0.00106287291969488,0.000131736895396648
"RF",10,"EmergenceDAS","TotalEffects","Population",0.00717507602197058,0.000598071085454732,0.00123242715629519,0.00209538357109771,-0.0060139899881565,0.00116108603381408
"RF",10,"EmergenceDAS","TotalEffects","FracPAWC",1.13228058113609,0.74766952176615,-0.0258748392399184,0.269872773127132,0.347393088310099,1.47967366944619
"RF",100,"EmergenceDAS","FirstOrder","ShootLag",0.369799807956026,0.0473151671431758,0.00602086928790918,0.0954840827008178,-0.140839398322007,0.228960409634019
"RF",100,"EmergenceDAS","FirstOrder","VegTarget",0.375311206158685,-0.0567393763364059,0.00347670261592004,0.0926120663331463,-0.276583937197802,0.0987272689608829
"RF",100,"EmergenceDAS","FirstOrder","LateVegTarget",0.375849437131545,-0.0580349016190424,0.00364006631186668,0.0938589448453317,-0.277608938677853,0.0982404984536919
"RF",100,"EmergenceDAS","FirstOrder","FloweringTarget",0.364290192603951,-0.0621302113823189,0.00418872803486221,0.0909248425046471,-0.274092001951426,0.0901981906525251
"RF",100,"EmergenceDAS","FirstOrder","Population",0.360491111021554,-0.0616790452299192,0.00406119455830192,0.0912053394852892,-0.271864705353282,0.0886264056682718
"RF",100,"EmergenceDAS","FirstOrder","FracPAWC",0.11463791436279,0.87349124774378,-0.00625144942057621,0.0295263980666084,0.835897684074981,0.950535598437771
"RF",100,"EmergenceDAS","TotalEffects","ShootLag",0.227265451650006,0.175090175745226,0.016959069590915,0.0552758103020662,-0.00176511403123597,0.225500337618771
"RF",100,"EmergenceDAS","TotalEffects","VegTarget",0.00485255231969331,0.00225158833663608,-2.36474796710671e-05,0.00119035119318827,-0.000649098820031827,0.00420345349966148
"RF",100,"EmergenceDAS","TotalEffects","LateVegTarget",0.00207156845957446,0.00202508865318396,0.000169000881056749,0.000476934559538061,0.000599549819201801,0.00267111827877626
"RF",100,"EmergenceDAS","TotalEffects","FloweringTarget",0.000217711181180653,0.000317207483792714,4.82244523654086e-06,5.07080149535854e-05,0.000212086675997795,0.000429797857178448
"RF",100,"EmergenceDAS","TotalEffects","Population",0.00132479766741589,0.000892531190731849,9.44800712552785e-05,0.000293494222580908,-6.68500540418715e-05,0.00125794761337402
"RF",100,"EmergenceDAS","TotalEffects","FracPAWC",0.34276842080925,0.919535032137323,-0.00229114675356956,0.0827481240771311,0.745792722763393,1.08856114357264
"RF",1000,"EmergenceDAS","FirstOrder","ShootLag",0.13533394169198,0.0795132000379291,0.00462495297321469,0.0324525061273499,0.015542631029915,0.150876572721895
"RF",1000,"EmergenceDAS","FirstOrder","VegTarget",0.132193368978255,-0.0175730959019211,0.00312360269743136,0.0311796747968915,-0.0880917810640271,0.0441015879142281
"RF",1000,"EmergenceDAS","FirstOrder","LateVegTarget",0.131934747888282,-0.0148286602856359,0.00301769405169431,0.0312805915586927,-0.08596013485,0.0459746130382816
"RF",1000,"EmergenceDAS","FirstOrder","FloweringTarget",0.133313864186903,-0.0161587504135038,0.00329082560276805,0.0314148662887023,-0.0877890254730512,0.0455248387138519
"RF",1000,"EmergenceDAS","FirstOrder","Population",0.132677013715797,-0.01515984607588,0.0030717378015148,0.0313305168946197,-0.0854665198979023,0.0472104938178951
"RF",1000,"EmergenceDAS","FirstOrder","FracPAWC",0.0272324935378164,0.887165562802092,-0.000831095123672521,0.00600581676475595,0.877279808946096,0.904512302483912
"RF",1000,"EmergenceDAS","TotalEffects","ShootLag",0.023639033413004,0.102282718994741,0.000477488057307948,0.00578714323713364,0.0888629706293093,0.112502004042313
"RF",1000,"EmergenceDAS","TotalEffects","VegTarget",0.00119510899122672,0.00318784663551186,6.91706634847744e-06,0.00031538998545374,0.00252894651747723,0.00372405550870395
"RF",1000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000341754098071853,0.00176331724137502,1.95123226863214e-05,8.79067867790389e-05,0.00157562794467954,0.0019173820427514
"RF",1000,"EmergenceDAS","TotalEffects","FloweringTarget",5.32329429397756e-05,0.0001766328014976,-8.99470848356729e-07,1.38566014402386e-05,0.000148174172471067,0.000201407115410843
"RF",1000,"EmergenceDAS","TotalEffects","Population",0.000137490126786127,0.00052684834506489,7.11770671042776e-06,3.49448934433751e-05,0.000449033161623877,0.000586523288410004
